application_id,candidate_id,req_id,stage,stage_enter_date,stage_exit_date
A400041,C3032,R2003,Screen,2025-05-17,2025-05-28
A400041,C3032,R2003,Interview,2025-05-28,2025-06-09
A400041,C3032,R2003,Rejected,2025-06-09,2025-06-19
A400042,C3032,R2036,Applied,2025-07-23,2025-08-02
A400042,C3032,R2036,Screen,2025-08-02,2025-08-05
A400042,C3032,R2036,Rejected,2025-08-05,2025-08-13
A400043,C3033,R2033,Applied,2025-10-19,2025-10-29
A400043,C3033,R2033,Screen,2025-10-29,2025-11-06
A400043,C3033,R2033,Rejected,2025-11-06,2025-11-09
A400044,C3034,R2007,Applied,2025-06-09,2025-06-18
A400044,C3034,R2007,Screen,2025-06-18,2025-06-24
A400045,C3035,R2010,Applied,2025-04-21,2025-04-25
A400045,C3035,R2010,Screen,2025-04-25,2025-05-02
A400045,C3035,R2010,Rejected,2025-05-02,2025-05-10
A400046,C3035,R2035,Applied,2025-12-16,2025-12-25
A400046,C3035,R2035,Screen,2025-12-25,2026-01-05
A400047,C3036,R2002,Applied,2025-05-02,2025-05-08
A400047,C3036,R2002,Screen,2025-05-08,2025-05-11
A400047,C3036,R2002,Interview,2025-05-11,2025-05-23
A400048,C3037,R2042,Applied,2025-05-09,2025-05-14
A400048,C3037,R2042,Screen,2025-05-14,2025-05-21
A400049,C3037,R2041,Applied,2025-08-03,2025-08-14
A400049,C3037,R2041,Screen,2025-08-14,2025-08-24
A400049,C3037,R2041,Interview,2025-08-24,2025-08-30
A400049,C3037,R2041,Offer,2025-08-30,2025-09-11
A400049,C3037,R2041,Hired,2025-09-11,2025-09-16
A400050,C3038,R2037,Applied,2025-12-03,2025-12-14
A400050,C3038,R2037,Screen,2025-12-14,2025-12-17
A400051,C3039,R2019,Applied,2025-09-04,2025-09-11
A400051,C3039,R2019,Screen,2025-09-11,2025-09-18
A400051,C3039,R2019,Interview,2025-09-18,2025-09-21
A400052,C3040,R2001,Applied,2025-10-14,2025-10-22
A400052,C3040,R2001,Screen,2025-10-22,2025-10-28
A400052,C3040,R2001,Interview,2025-10-28,2025-10-31
A400052,C3040,R2001,Offer,2025-10-31,2025-11-04
A400052,C3040,R2001,Hired,2025-11-04,2025-11-15
A400053,C3041,R2029,Applied,2025-04-03,2025-04-05
A400053,C3041,R2029,Rejected,2025-04-05,2025-04-12
A400054,C3041,R2002,Applied,2025-04-09,2025-04-20
A400054,C3041,R2002,Screen,2025-04-20,2025-04-22
A400054,C3041,R2002,Interview,2025-04-22,2025-05-04
A400054,C3041,R2002,Offer,2025-05-04,2025-05-11
A400054,C3041,R2002,Hired,2025-05-11,2025-05-16
A400055,C3042,R2038,Applied,2025-07-11,2025-07-13
A400055,C3042,R2038,Rejected,2025-07-13,2025-07-17
A400056,C3043,R2029,Applied,2025-08-14,2025-08-19
A400056,C3043,R2029,Screen,2025-08-19,2025-08-26
A400057,C3044,R2011,Applied,2025-11-26,2025-12-08
A400057,C3044,R2011,Screen,2025-12-08,2025-12-14
A400057,C3044,R2011,Rejected,2025-12-14,2025-12-22
A400058,C3045,R2002,Applied,2025-03-17,2025-03-26
A400058,C3045,R2002,Screen,2025-03-26,2025-03-28
A400058,C3045,R2002,Interview,2025-03-28,2025-04-09
A400058,C3045,R2002,Offer,2025-04-09,2025-04-17
A400058,C3045,R2002,Hired,2025-04-17,2025-04-18
A400059,C3046,R2009,Applied,2025-07-28,2025-08-02
A400059,C3046,R2009,Screen,2025-08-02,2025-08-03
A400060,C3047,R2006,Applied,2025-12-02,2025-12-07
A400060,C3047,R2006,Screen,2025-12-07,2025-12-17
A400060,C3047,R2006,Interview,2025-12-17,2025-12-29
A400060,C3047,R2006,Rejected,2025-12-29,2026-01-02
A400061,C3047,R2031,Applied,2025-12-20,2025-12-27
A400061,C3047,R2031,Screen,2025-12-27,2026-01-08
A400061,C3047,R2031,Interview,2026-01-08,2026-01-09
A400061,C3047,R2031,Rejected,2026-01-09,2026-01-15
A400062,C3048,R2020,Applied,2025-08-16,2025-08-25
A400062,C3048,R2020,Screen,2025-08-25,2025-08-30
A400063,C3049,R2001,Applied,2025-11-11,2025-11-13
A400063,C3049,R2001,Screen,2025-11-13,2025-11-25
A400063,C3049,R2001,Interview,2025-11-25,2025-12-03
A400063,C3049,R2001,Rejected,2025-12-03,2025-12-12
A400064,C3049,R2044,Applied,2025-06-02,2025-06-06
A400064,C3049,R2044,Screen,2025-06-06,2025-06-10
A400064,C3049,R2044,Interview,2025-06-10,2025-06-12
A400064,C3049,R2044,Rejected,2025-06-12,2025-06-21
A400065,C3050,R2034,Applied,2025-08-02,2025-08-04
A400065,C3050,R2034,Rejected,2025-08-04,2025-08-05
A400066,C3051,R2044,Applied,2025-07-08,2025-07-17
A400066,C3051,R2044,Screen,2025-07-17,2025-07-22
A400066,C3051,R2044,Interview,2025-07-22,2025-07-24
A400067,C3052,R2020,Applied,2025-07-05,2025-07-14
A400067,C3052,R2020,Screen,2025-07-14,2025-07-20
A400067,C3052,R2020,Rejected,2025-07-20,2025-07-22
A400068,C3053,R2015,Applied,2025-09-03,2025-09-05
A400068,C3053,R2015,Screen,2025-09-05,2025-09-15
A400068,C3053,R2015,Interview,2025-09-15,2025-09-19
A400069,C3054,R2027,Applied,2025-02-06,2025-02-11
A400069,C3054,R2027,Screen,2025-02-11,2025-02-16
A400069,C3054,R2027,Interview,2025-02-16,2025-02-28
A400069,C3054,R2027,Offer,2025-02-28,2025-03-09
A400069,C3054,R2027,Hired,2025-03-09,2025-03-13
A400070,C3054,R2009,Applied,2025-03-24,2025-03-28
A400070,C3054,R2009,Screen,2025-03-28,2025-04-09
A400070,C3054,R2009,Interview,2025-04-09,2025-04-14
A400071,C3055,R2004,Applied,2025-05-31,2025-06-04
A400071,C3055,R2004,Screen,2025-06-04,2025-06-12
A400072,C3055,R2021,Applied,2025-09-24,2025-09-30
A400072,C3055,R2021,Screen,2025-09-30,2025-10-03
A400072,C3055,R2021,Rejected,2025-10-03,2025-10-06
A400073,C3056,R2040,Applied,2025-10-24,2025-11-04
A400074,C3057,R2007,Applied,2025-12-21,2025-12-22
A400074,C3057,R2007,Screen,2025-12-22,2025-12-31
A400075,C3058,R2035,Applied,2025-07-23,2025-08-02
A400075,C3058,R2035,Screen,2025-08-02,2025-08-07
A400075,C3058,R2035,Interview,2025-08-07,2025-08-17
A400075,C3058,R2035,Rejected,2025-08-17,2025-08-22
A400076,C3059,R2001,Applied,2025-12-18,2025-12-21
A400076,C3059,R2001,Screen,2025-12-21,2025-12-28
A400076,C3059,R2001,Interview,2025-12-28,2025-12-29
A400077,C3059,R2006,Applied,2025-12-08,2025-12-15
A400077,C3059,R2006,Screen,2025-12-15,2025-12-24
A400078,C3060,R2040,Applied,2025-09-30,2025-10-10
A400079,C3061,R2017,Applied,2025-03-11,2025-03-21
A400079,C3061,R2017,Screen,2025-03-21,2025-03-29
A400080,C3062,R2039,Applied,2025-12-04,2025-12-07
A400080,C3062,R2039,Screen,2025-12-07,2025-12-12
A400080,C3062,R2039,Interview,2025-12-12,2025-12-24
A400080,C3062,R2039,Rejected,2025-12-24,2025-12-30
A400081,C3063,R2023,Applied,2025-08-29,2025-09-06
A400081,C3063,R2023,Screen,2025-09-06,2025-09-15
A400081,C3063,R2023,Interview,2025-09-15,2025-09-19
A400081,C3063,R2023,Rejected,2025-09-19,2025-09-27
A400082,C3063,R2014,Applied,2025-05-26,2025-05-28
A400082,C3063,R2014,Screen,2025-05-28,2025-06-03
A400082,C3063,R2014,Interview,2025-06-03,2025-06-04
A400082,C3063,R2014,Rejected,2025-06-04,2025-06-10
A400083,C3064,R2043,Applied,2025-09-17,2025-09-26
A400083,C3064,R2043,Screen,2025-09-26,2025-10-01
A400083,C3064,R2043,Interview,2025-10-01,2025-10-10
A400084,C3065,R2022,Applied,2025-08-23,2025-08-27
A400084,C3065,R2022,Screen,2025-08-27,2025-08-28
A400084,C3065,R2022,Interview,2025-08-28,2025-08-29
A400084,C3065,R2022,Offer,2025-08-29,2025-08-31
A400084,C3065,R2022,Rejected,2025-08-31,2025-09-07
A400085,C3066,R2033,Applied,2025-07-20,2025-07-24
A400085,C3066,R2033,Screen,2025-07-24,2025-08-01
A400086,C3066,R2018,Applied,2025-07-29,2025-08-04
A400086,C3066,R2018,Screen,2025-08-04,2025-08-14
A400086,C3066,R2018,Rejected,2025-08-14,2025-08-22
A400087,C3067,R2017,Applied,2025-08-03,2025-08-12
A400087,C3067,R2017,Screen,2025-08-12,2025-08-13
A400087,C3067,R2017,Interview,2025-08-13,2025-08-21
A400088,C3068,R2005,Applied,2025-10-02,2025-10-14
A400088,C3068,R2005,Screen,2025-10-14,2025-10-22
A400088,C3068,R2005,Interview,2025-10-22,2025-11-01
A400088,C3068,R2005,Offer,2025-11-01,2025-11-11
A400088,C3068,R2005,Hired,2025-11-11,2025-11-21
A400089,C3069,R2030,Applied,2025-11-03,2025-11-15
A400089,C3069,R2030,Screen,2025-11-15,2025-11-23
A400090,C3070,R2020,Applied,2025-10-07,2025-10-18
A400090,C3070,R2020,Screen,2025-10-18,2025-10-21
A400090,C3070,R2020,Interview,2025-10-21,2025-10-26
A400090,C3070,R2020,Rejected,2025-10-26,2025-10-31
A400091,C3071,R2034,Applied,2025-08-02,2025-08-06
A400091,C3071,R2034,Screen,2025-08-06,2025-08-17
A400091,C3071,R2034,Rejected,2025-08-17,2025-08-24
A400092,C3072,R2003,Applied,2025-10-10,2025-10-13
A400092,C3072,R2003,Screen,2025-10-13,2025-10-20
A400093,C3072,R2030,Applied,2025-05-22,2025-05-28
A400093,C3072,R2030,Screen,2025-05-28,2025-05-31
A400093,C3072,R2030,Interview,2025-05-31,2025-06-08
A400094,C3073,R2041,Applied,2025-11-05,2025-11-16
A400094,C3073,R2041,Screen,2025-11-16,2025-11-17
A400094,C3073,R2041,Interview,2025-11-17,2025-11-23
A400094,C3073,R2041,Offer,2025-11-23,2025-12-02
A400094,C3073,R2041,Hired,2025-12-02,2025-12-08
A400095,C3074,R2000,Applied,2025-08-10,2025-08-14
A400095,C3074,R2000,Screen,2025-08-14,2025-08-19
A400096,C3075,R2012,Applied,2025-11-02,2025-11-12
A400096,C3075,R2012,Screen,2025-11-12,2025-11-14
A400096,C3075,R2012,Interview,2025-11-14,2025-11-15
A400096,C3075,R2012,Offer,2025-11-15,2025-11-25
A400096,C3075,R2012,Hired,2025-11-25,2025-12-06
A400097,C3076,R2025,Applied,2025-10-22,2025-10-23
A400097,C3076,R2025,Screen,2025-10-23,2025-10-30
A400097,C3076,R2025,Interview,2025-10-30,2025-11-05
A400097,C3076,R2025,Offer,2025-11-05,2025-11-09
A400097,C3076,R2025,Hired,2025-11-09,2025-11-10
A400098,C3076,R2010,Applied,2025-11-30,2025-12-04
A400098,C3076,R2010,Screen,2025-12-04,2025-12-11
A400098,C3076,R2010,Interview,2025-12-11,2025-12-21
A400099,C3077,R2036,Applied,2025-06-15,2025-06-17
A400099,C3077,R2036,Screen,2025-06-17,2025-06-27
A400099,C3077,R2036,Rejected,2025-06-27,2025-06-29
A400100,C3077,R2018,Applied,2025-06-25,2025-06-26
A400100,C3077,R2018,Screen,2025-06-26,2025-07-06
A400101,C3078,R2040,Applied,2025-05-01,2025-05-09
A400101,C3078,R2040,Screen,2025-05-09,2025-05-14
A400101,C3078,R2040,Interview,2025-05-14,2025-05-15
A400102,C3079,R2033,Applied,2025-09-30,2025-10-12
A400102,C3079,R2033,Screen,2025-10-12,2025-10-14
A400103,C3079,R2015,Applied,2025-11-18,2025-11-21
A400104,C3080,R2019,Applied,2025-08-17,2025-08-23
A400104,C3080,R2019,Screen,2025-08-23,2025-08-27
A400105,C3081,R2001,Applied,2025-11-19,2025-11-30
A400105,C3081,R2001,Screen,2025-11-30,2025-12-11
A400105,C3081,R2001,Interview,2025-12-11,2025-12-20
A400105,C3081,R2001,Rejected,2025-12-20,2025-12-21
A400106,C3082,R2000,Applied,2025-08-24,2025-08-31
A400106,C3082,R2000,Screen,2025-08-31,2025-09-09
A400106,C3082,R2000,Interview,2025-09-09,2025-09-11
A400107,C3082,R2025,Applied,2025-09-26,2025-10-01
A400107,C3082,R2025,Screen,2025-10-01,2025-10-08
A400107,C3082,R2025,Rejected,2025-10-08,2025-10-10
A400108,C3083,R2006,Applied,2025-11-17,2025-11-20
A400108,C3083,R2006,Screen,2025-11-20,2025-11-28
A400108,C3083,R2006,Interview,2025-11-28,2025-12-08
A400108,C3083,R2006,Offer,2025-12-08,2025-12-14
A400108,C3083,R2006,Hired,2025-12-14,2025-12-19
A400109,C3084,R2032,Applied,2025-11-09,2025-11-11
A400110,C3084,R2039,Applied,2025-09-01,2025-09-02
A400110,C3084,R2039,Screen,2025-09-02,2025-09-13
A400110,C3084,R2039,Rejected,2025-09-13,2025-09-21
A400111,C3085,R2027,Applied,2025-12-11,2025-12-23
A400111,C3085,R2027,Rejected,2025-12-23,2025-12-26
A400112,C3085,R2023,Applied,2025-08-24,2025-09-02
A400112,C3085,R2023,Rejected,2025-09-02,2025-09-14
A400113,C3086,R2043,Applied,2025-08-11,2025-08-22
A400113,C3086,R2043,Screen,2025-08-22,2025-08-25
A400113,C3086,R2043,Interview,2025-08-25,2025-09-03
A400114,C3087,R2017,Applied,2025-04-22,2025-05-02
A400114,C3087,R2017,Screen,2025-05-02,2025-05-05
A400114,C3087,R2017,Rejected,2025-05-05,2025-05-12
A400115,C3087,R2001,Applied,2025-10-20,2025-10-24
A400115,C3087,R2001,Screen,2025-10-24,2025-11-03
A400115,C3087,R2001,Interview,2025-11-03,2025-11-15
A400116,C3088,R2034,Applied,2025-12-01,2025-12-05
A400116,C3088,R2034,Screen,2025-12-05,2025-12-13
A400116,C3088,R2034,Rejected,2025-12-13,2025-12-19
A400117,C3089,R2026,Applied,2025-06-30,2025-07-02
A400117,C3089,R2026,Screen,2025-07-02,2025-07-11
A400118,C3090,R2044,Applied,2025-07-02,2025-07-07
A400118,C3090,R2044,Screen,2025-07-07,2025-07-17
A400118,C3090,R2044,Interview,2025-07-17,2025-07-24
A400118,C3090,R2044,Rejected,2025-07-24,2025-08-01
A400119,C3091,R2040,Applied,2025-08-28,2025-09-09
A400119,C3091,R2040,Screen,2025-09-09,2025-09-10
A400120,C3092,R2028,Applied,2025-09-08,2025-09-14
A400120,C3092,R2028,Screen,2025-09-14,2025-09-17
A400120,C3092,R2028,Rejected,2025-09-17,2025-09-25
A400121,C3093,R2006,Applied,2025-09-14,2025-09-15
A400122,C3094,R2003,Applied,2025-07-30,2025-08-01
A400122,C3094,R2003,Screen,2025-08-01,2025-08-02
A400122,C3094,R2003,Interview,2025-08-02,2025-08-12
A400122,C3094,R2003,Offer,2025-08-12,2025-08-16
A400122,C3094,R2003,Hired,2025-08-16,2025-08-21
A400123,C3095,R2015,Applied,2025-10-08,2025-10-13
A400123,C3095,R2015,Screen,2025-10-13,2025-10-18
A400123,C3095,R2015,Interview,2025-10-18,2025-10-22
A400123,C3095,R2015,Offer,2025-10-22,2025-11-03
A400123,C3095,R2015,Hired,2025-11-03,2025-11-10
A400124,C3096,R2022,Applied,2025-10-10,2025-10-16
A400124,C3096,R2022,Rejected,2025-10-16,2025-10-23
A400125,C3097,R2038,Applied,2025-08-26,2025-08-28
A400125,C3097,R2038,Screen,2025-08-28,2025-09-05
A400125,C3097,R2038,Interview,2025-09-05,2025-09-16
A400126,C3098,R2035,Applied,2025-06-09,2025-06-10
A400126,C3098,R2035,Rejected,2025-06-10,2025-06-20
A400127,C3099,R2017,Applied,2025-02-08,2025-02-14
A400127,C3099,R2017,Screen,2025-02-14,2025-02-21
A400127,C3099,R2017,Interview,2025-02-21,2025-03-03
A400128,C3099,R2029,Applied,2025-04-07,2025-04-13
A400128,C3099,R2029,Rejected,2025-04-13,2025-04-17
A400129,C3100,R2028,Applied,2025-08-21,2025-08-23
A400129,C3100,R2028,Screen,2025-08-23,2025-08-24
A400129,C3100,R2028,Interview,2025-08-24,2025-08-31
A400129,C3100,R2028,Rejected,2025-08-31,2025-09-10
A400130,C3101,R2021,Applied,2025-08-25,2025-08-31
A400130,C3101,R2021,Screen,2025-08-31,2025-09-01
A400130,C3101,R2021,Interview,2025-09-01,2025-09-07
A400131,C3102,R2022,Applied,2025-11-03,2025-11-05
A400131,C3102,R2022,Screen,2025-11-05,2025-11-13
A400131,C3102,R2022,Rejected,2025-11-13,2025-11-21
A400132,C3103,R2002,Applied,2025-06-27,2025-07-01
A400132,C3103,R2002,Screen,2025-07-01,2025-07-03
A400132,C3103,R2002,Interview,2025-07-03,2025-07-06
A400133,C3104,R2017,Applied,2025-09-22,2025-10-02
A400133,C3104,R2017,Screen,2025-10-02,2025-10-08
A400134,C3104,R2024,Applied,2025-08-22,2025-08-30
A400134,C3104,R2024,Screen,2025-08-30,2025-09-09
A400134,C3104,R2024,Interview,2025-09-09,2025-09-17
A400135,C3105,R2006,Applied,2025-07-24,2025-08-01
A400135,C3105,R2006,Screen,2025-08-01,2025-08-06
A400135,C3105,R2006,Rejected,2025-08-06,2025-08-17
A400136,C3106,R2009,Applied,2025-11-19,2025-11-20
A400137,C3107,R2007,Applied,2025-12-07,2025-12-16
A400137,C3107,R2007,Rejected,2025-12-16,2025-12-27
A400138,C3108,R2042,Applied,2025-09-24,2025-09-30
A400138,C3108,R2042,Screen,2025-09-30,2025-10-11
A400139,C3108,R2027,Applied,2025-09-09,2025-09-14
A400140,C3109,R2015,Applied,2025-08-20,2025-08-29
A400140,C3109,R2015,Screen,2025-08-29,2025-09-10
A400141,C3110,R2030,Applied,2025-09-29,2025-09-30
A400141,C3110,R2030,Screen,2025-09-30,2025-10-09
A400141,C3110,R2030,Interview,2025-10-09,2025-10-15
A400142,C3111,R2012,Applied,2025-12-10,2025-12-11
A400142,C3111,R2012,Screen,2025-12-11,2025-12-16
A400143,C3111,R2008,Applied,2025-05-07,2025-05-10
A400143,C3111,R2008,Screen,2025-05-10,2025-05-20
A400143,C3111,R2008,Interview,2025-05-20,2025-05-31
A400144,C3112,R2034,Applied,2025-09-13,2025-09-21
A400144,C3112,R2034,Rejected,2025-09-21,2025-10-03
A400145,C3113,R2002,Applied,2025-09-19,2025-09-24
A400146,C3114,R2027,Applied,2025-10-21,2025-10-26
A400146,C3114,R2027,Screen,2025-10-26,2025-11-01
A400146,C3114,R2027,Interview,2025-11-01,2025-11-10
A400147,C3115,R2030,Applied,2025-06-18,2025-06-20
A400147,C3115,R2030,Screen,2025-06-20,2025-06-23
A400148,C3116,R2023,Applied,2025-08-06,2025-08-12
A400148,C3116,R2023,Screen,2025-08-12,2025-08-15
A400148,C3116,R2023,Interview,2025-08-15,2025-08-22
A400148,C3116,R2023,Offer,2025-08-22,2025-08-28
A400148,C3116,R2023,Rejected,2025-08-28,2025-09-04
A400149,C3117,R2018,Applied,2025-12-07,2025-12-09
A400149,C3117,R2018,Screen,2025-12-09,2025-12-13
A400149,C3117,R2018,Rejected,2025-12-13,2025-12-23
A400150,C3118,R2013,Applied,2025-10-26,2025-11-07
A400150,C3118,R2013,Screen,2025-11-07,2025-11-12
A400151,C3119,R2003,Applied,2025-10-10,2025-10-17
A400151,C3119,R2003,Screen,2025-10-17,2025-10-25
A400152,C3120,R2041,Applied,2025-10-22,2025-10-28
A400152,C3120,R2041,Screen,2025-10-28,2025-11-05
A400152,C3120,R2041,Interview,2025-11-05,2025-11-06
A400153,C3121,R2007,Applied,2025-08-29,2025-09-04
A400153,C3121,R2007,Screen,2025-09-04,2025-09-05
A400154,C3122,R2032,Applied,2025-10-21,2025-10-29
A400154,C3122,R2032,Screen,2025-10-29,2025-10-31
A400155,C3123,R2040,Applied,2025-04-14,2025-04-25
A400155,C3123,R2040,Screen,2025-04-25,2025-04-27
A400155,C3123,R2040,Interview,2025-04-27,2025-05-08
A400155,C3123,R2040,Offer,2025-05-08,2025-05-19
A400155,C3123,R2040,Hired,2025-05-19,2025-05-23
A400156,C3124,R2032,Applied,2025-11-20,2025-12-01
